name,position,season_points,appearances,starts,sub_appearances,starter_ppg_est,sub_ppg_est,overall_ppg,prior_start_rate,prior_appearance_rate
Enes Ünal,FWD,27.0,22.0,0.0,22.0,5.0,1.0,0.710526,0.0,0.578947
Yoane Wissa,FWD,27.0,18.0,4.0,14.0,3.25,1.0,0.710526,0.105263,0.473684
Pablo Felipe Pereira de Jesus,FWD,26.0,13.0,9.0,4.0,2.444444,1.0,0.684211,0.236842,0.342105
Gabriel Fernando de Jesus,FWD,24.0,13.0,2.0,11.0,6.5,1.0,0.631579,0.052632,0.342105
Eddie Nketiah,FWD,23.0,12.0,2.0,10.0,6.5,1.0,0.605263,0.052632,0.315789
Tammy Abraham,FWD,23.0,12.0,2.0,10.0,6.5,1.0,0.605263,0.052632,0.315789
Joël Piroe,FWD,17.0,15.0,2.0,13.0,2.0,1.0,0.447368,0.052632,0.394737
Christantus Uche,FWD,17.0,14.0,0.0,14.0,3.0,1.0,0.447368,0.0,0.368421
Stefanos Tzimas,FWD,16.0,9.0,1.0,8.0,8.0,1.0,0.421053,0.026316,0.236842
Marc Guiu Paz,FWD,13.0,10.0,1.0,9.0,4.0,1.0,0.342105,0.026316,0.263158
Niclas Füllkrug,FWD,12.0,8.0,5.0,3.0,1.8,1.0,0.315789,0.131579,0.210526
Arnaud Kalimuendo,FWD,9.0,9.0,0.0,9.0,0.0,1.0,0.236842,0.0,0.236842
Lorenzo Lucca,FWD,9.0,4.0,1.0,3.0,6.0,1.0,0.236842,0.026316,0.105263
Jonah Kusi-Asare,FWD,6.0,7.0,0.0,7.0,0.0,1.0,0.157895,0.0,0.184211
Ashley Barnes,FWD,5.0,6.0,0.0,6.0,0.0,1.0,0.131579,0.0,0.157895
Zeki Amdouni,FWD,4.0,3.0,0.0,3.0,1.0,1.0,0.105263,0.0,0.078947
Callum Marshall,FWD,2.0,2.0,0.0,2.0,0.0,1.0,0.052632,0.0,0.052632
Dane Scarlett,FWD,2.0,2.0,0.0,2.0,0.0,1.0,0.052632,0.0,0.052632
Saša Kalajdžić,FWD,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Odsonne Édouard,FWD,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Kaye Furo,FWD,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Shumaira Mheuka,FWD,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
David Raya Martín,GK,162.0,37.0,37.0,0.0,4.378378,0.0,4.263158,0.973684,0.973684
Caoimhín Kelleher,GK,143.0,36.0,36.0,0.0,3.972222,0.0,3.763158,0.947368,0.947368
Robin Roefs,GK,136.0,34.0,34.0,0.0,4.0,0.0,3.578947,0.894737,0.894737
Jordan Pickford,GK,135.0,37.0,37.0,0.0,3.648649,0.0,3.552632,0.973684,0.973684
Gianluigi Donnarumma,GK,135.0,34.0,34.0,0.0,3.970588,0.0,3.552632,0.894737,0.894737
Dean Henderson,GK,131.0,36.0,36.0,0.0,3.638889,0.0,3.447368,0.947368,0.947368
Bart Verbruggen,GK,130.0,37.0,37.0,0.0,3.513514,0.0,3.421053,0.973684,0.973684
Đorđe Petrović,GK,124.0,37.0,37.0,0.0,3.351351,0.0,3.263158,0.973684,0.973684
Bernd Leno,GK,122.0,37.0,37.0,0.0,3.297297,0.0,3.210526,0.973684,0.973684
Emiliano Martínez Romero,GK,120.0,32.0,32.0,0.0,3.75,0.0,3.157895,0.842105,0.842105
Robert Lynch Sánchez,GK,113.0,34.0,34.0,0.0,3.323529,0.0,2.973684,0.894737,0.894737
Senne Lammens,GK,109.0,31.0,31.0,0.0,3.516129,0.0,2.868421,0.815789,0.815789
Matz Sels,GK,105.0,30.0,29.0,1.0,3.586207,1.0,2.763158,0.763158,0.789474
Nick Pope,GK,96.0,26.0,26.0,0.0,3.692308,0.0,2.526316,0.684211,0.684211
Martin Dúbravka,GK,96.0,35.0,35.0,0.0,2.742857,0.0,2.526316,0.921053,0.921053
Alisson Becker,GK,91.0,25.0,25.0,0.0,3.64,0.0,2.394737,0.657895,0.657895
Guglielmo Vicario,GK,90.0,31.0,31.0,0.0,2.903226,0.0,2.368421,0.815789,0.815789
Mads Hermansen,GK,76.0,17.0,17.0,0.0,4.470588,0.0,2.0,0.447368,0.447368
Karl Darlow,GK,71.0,21.0,21.0,0.0,3.380952,0.0,1.868421,0.552632,0.552632
José Malheiro de Sá,GK,68.0,22.0,22.0,0.0,3.090909,0.0,1.789474,0.578947,0.578947
Alphonse Areola,GK,51.0,20.0,20.0,0.0,2.55,0.0,1.342105,0.526316,0.526316
Lucas Estella Perri,GK,43.0,16.0,16.0,0.0,2.6875,0.0,1.131579,0.421053,0.421053
Giorgi Mamardashvili,GK,34.0,10.0,10.0,0.0,3.4,0.0,0.894737,0.263158,0.263158
Aaron Ramsdale,GK,25.0,12.0,11.0,1.0,2.181818,1.0,0.657895,0.289474,0.315789
Sam Johnstone,GK,21.0,12.0,12.0,0.0,1.75,0.0,0.552632,0.315789,0.315789
Antonín Kinský,GK,20.0,6.0,6.0,0.0,3.333333,0.0,0.526316,0.157895,0.157895
Marco Bizot,GK,16.0,6.0,5.0,1.0,3.0,1.0,0.421053,0.131579,0.157895
Melker Ellborg,GK,16.0,3.0,3.0,0.0,5.333333,0.0,0.421053,0.078947,0.078947
James Trafford,GK,13.0,3.0,3.0,0.0,4.333333,0.0,0.342105,0.078947,0.078947
Stefan Ortega Moreno,GK,11.0,3.0,3.0,0.0,3.666667,0.0,0.289474,0.078947,0.078947
Altay Bayındır,GK,11.0,6.0,6.0,0.0,1.833333,0.0,0.289474,0.157895,0.157895
John Victor Maciel Furtado,GK,11.0,5.0,5.0,0.0,2.2,0.0,0.289474,0.131579,0.131579
Filip Jörgensen,GK,9.0,5.0,3.0,2.0,2.333333,1.0,0.236842,0.078947,0.131579
Max Weiß,GK,7.0,2.0,2.0,0.0,3.5,0.0,0.184211,0.052632,0.052632
Walter Benítez,GK,7.0,1.0,1.0,0.0,7.0,0.0,0.184211,0.026316,0.026316
Freddie Woodman,GK,6.0,3.0,2.0,1.0,2.5,1.0,0.157895,0.052632,0.078947
Daniel Bentley,GK,6.0,3.0,3.0,0.0,2.0,0.0,0.157895,0.078947,0.078947
Angus Gunn,GK,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Hákon Rafn Valdimarsson,GK,1.0,1.0,1.0,0.0,1.0,0.0,0.026316,0.026316,0.026316
Bruno Borges Fernandes,MID,235.0,34.0,34.0,0.0,6.911765,0.0,6.184211,0.894737,0.894737
Antoine Semenyo,MID,202.0,36.0,36.0,0.0,5.611111,0.0,5.315789,0.947368,0.947368
Morgan Gibbs-White,MID,188.0,36.0,34.0,2.0,5.470588,1.0,4.947368,0.894737,0.947368
Declan Rice,MID,184.0,36.0,35.0,1.0,5.228571,1.0,4.842105,0.921053,0.947368
Elliot Anderson,MID,180.0,37.0,36.0,1.0,4.972222,1.0,4.736842,0.947368,0.973684
Morgan Rogers,MID,169.0,37.0,37.0,0.0,4.567568,0.0,4.447368,0.973684,0.973684
Harry Wilson,MID,168.0,35.0,32.0,3.0,5.15625,1.0,4.421053,0.842105,0.921053
Carlos Henrique Casimiro,MID,165.0,34.0,33.0,1.0,4.969697,1.0,4.342105,0.868421,0.894737
Dominik Szoboszlai,MID,160.0,35.0,35.0,0.0,4.571429,0.0,4.210526,0.921053,0.921053
James Garner,MID,159.0,37.0,37.0,0.0,4.297297,0.0,4.184211,0.973684,0.973684
Enzo Fernández,MID,157.0,35.0,34.0,1.0,4.588235,1.0,4.131579,0.894737,0.921053
Bukayo Saka,MID,157.0,31.0,25.0,6.0,6.04,1.0,4.131579,0.657895,0.815789
Bruno Guimarães Rodriguez Moura,MID,154.0,28.0,26.0,2.0,5.846154,1.0,4.052632,0.684211,0.736842
Kiernan Dewsbury-Hall,MID,151.0,30.0,29.0,1.0,5.172414,1.0,3.973684,0.763158,0.789474
Bryan Mbeumo,MID,148.0,32.0,30.0,2.0,4.866667,1.0,3.894737,0.789474,0.842105
Enzo Le Fée,MID,147.0,35.0,32.0,3.0,4.5,1.0,3.868421,0.842105,0.921053
Ryan Gravenberch,MID,144.0,35.0,33.0,2.0,4.30303,1.0,3.789474,0.868421,0.921053
Matheus Santos Carneiro da Cunha,MID,143.0,33.0,29.0,4.0,4.793103,1.0,3.763158,0.763158,0.868421
Marcus Tavernier,MID,137.0,33.0,30.0,3.0,4.466667,1.0,3.605263,0.789474,0.868421
Anton Stach,MID,137.0,29.0,28.0,1.0,4.857143,1.0,3.605263,0.736842,0.763158
Alex Scott,MID,136.0,37.0,34.0,3.0,3.911765,1.0,3.578947,0.894737,0.973684
Dango Ouattara,MID,136.0,31.0,24.0,7.0,5.375,1.0,3.578947,0.631579,0.815789
Rayan Cherki,MID,135.0,32.0,19.0,13.0,6.421053,1.0,3.552632,0.5,0.842105
Mateus Gonçalo Espanha Fernandes,MID,135.0,35.0,34.0,1.0,3.941176,1.0,3.552632,0.894737,0.921053
Ethan Ampadu,MID,134.0,34.0,34.0,0.0,3.941176,0.0,3.526316,0.894737,0.894737
Martín Zubimendi Ibáñez,MID,133.0,37.0,33.0,4.0,3.909091,1.0,3.5,0.868421,0.973684
Cody Gakpo,MID,131.0,35.0,31.0,4.0,4.096774,1.0,3.447368,0.815789,0.921053
Phil Foden,MID,131.0,32.0,22.0,10.0,5.5,1.0,3.447368,0.578947,0.842105
Iliman Ndiaye,MID,128.0,31.0,31.0,0.0,4.129032,0.0,3.368421,0.815789,0.815789
Jaidon Anthony,MID,127.0,36.0,31.0,5.0,3.935484,1.0,3.342105,0.815789,0.947368
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,126.0,32.0,22.0,10.0,5.272727,1.0,3.315789,0.578947,0.842105
Brenden Aaronson,MID,126.0,36.0,29.0,7.0,4.103448,1.0,3.315789,0.763158,0.947368
Florian Wirtz,MID,125.0,32.0,27.0,5.0,4.444444,1.0,3.289474,0.710526,0.842105
Kevin Schade,MID,125.0,34.0,31.0,3.0,3.935484,1.0,3.289474,0.815789,0.894737
Pedro Lomba Neto,MID,125.0,33.0,29.0,4.0,4.172414,1.0,3.289474,0.763158,0.868421
Granit Xhaka,MID,124.0,33.0,31.0,2.0,3.935484,1.0,3.263158,0.815789,0.868421
Mohamed Salah,MID,123.0,26.0,22.0,4.0,5.409091,1.0,3.236842,0.578947,0.684211
Jérémy Doku,MID,120.0,29.0,19.0,10.0,5.789474,1.0,3.157895,0.5,0.763158
Leandro Trossard,MID,119.0,31.0,21.0,10.0,5.190476,1.0,3.131579,0.552632,0.815789
Yankuba Minteh,MID,117.0,33.0,26.0,7.0,4.230769,1.0,3.078947,0.684211,0.868421
Ismaïla Sarr,MID,117.0,27.0,23.0,4.0,4.913043,1.0,3.078947,0.605263,0.710526
Cole Palmer,MID,114.0,25.0,23.0,2.0,4.869565,1.0,3.0,0.605263,0.657895
Mikkel Damsgaard,MID,113.0,32.0,24.0,8.0,4.375,1.0,2.973684,0.631579,0.842105
Eberechi Eze,MID,113.0,32.0,22.0,10.0,4.681818,1.0,2.973684,0.578947,0.842105
Adam Wharton,MID,112.0,33.0,29.0,4.0,3.724138,1.0,2.947368,0.763158,0.868421
Crysencio Summerville,MID,110.0,30.0,28.0,2.0,3.857143,1.0,2.894737,0.736842,0.789474
Moisés Caicedo Corozo,MID,110.0,32.0,31.0,1.0,3.516129,1.0,2.894737,0.815789,0.842105
Noah Okafor,MID,109.0,28.0,19.0,9.0,5.263158,1.0,2.868421,0.5,0.736842
Alexis Mac Allister,MID,108.0,36.0,30.0,6.0,3.4,1.0,2.842105,0.789474,0.947368
João Victor Gomes da Silva,MID,107.0,35.0,32.0,3.0,3.25,1.0,2.815789,0.842105,0.921053
Harvey Barnes,MID,106.0,36.0,19.0,17.0,4.684211,1.0,2.789474,0.5,0.947368
Yehor Yarmoliuk,MID,104.0,37.0,30.0,7.0,3.233333,1.0,2.736842,0.789474,0.973684
John McGinn,MID,103.0,29.0,28.0,1.0,3.642857,1.0,2.710526,0.736842,0.763158
Alex Iwobi,MID,103.0,28.0,28.0,0.0,3.678571,0.0,2.710526,0.736842,0.736842
Tomáš Souček,MID,103.0,34.0,23.0,11.0,4.0,1.0,2.710526,0.605263,0.894737
Emiliano Buendía Stati,MID,102.0,35.0,20.0,15.0,4.35,1.0,2.684211,0.526316,0.921053
Bernardo Mota Veiga de Carvalho e Silva,MID,102.0,37.0,33.0,4.0,2.969697,1.0,2.684211,0.868421,0.973684
Anthony Gordon,MID,101.0,26.0,24.0,2.0,4.125,1.0,2.657895,0.631579,0.684211
Yasin Ayari,MID,98.0,29.0,20.0,9.0,4.45,1.0,2.578947,0.526316,0.763158
Mathias Jensen,MID,98.0,35.0,25.0,10.0,3.52,1.0,2.578947,0.657895,0.921053
Diego Gómez Amarilla,MID,97.0,31.0,25.0,6.0,3.64,1.0,2.552632,0.657895,0.815789
Lesley Ugochukwu,MID,97.0,34.0,26.0,8.0,3.423077,1.0,2.552632,0.684211,0.894737
André Trindade da Costa Neto,MID,96.0,34.0,29.0,5.0,3.137931,1.0,2.526316,0.763158,0.894737
Ryan Sessegnon,MID,95.0,27.0,20.0,7.0,4.4,1.0,2.5,0.526316,0.710526
Mats Wieffer,MID,94.0,25.0,22.0,3.0,4.136364,1.0,2.473684,0.578947,0.657895
Tijjani Reijnders,MID,92.0,27.0,18.0,9.0,4.611111,1.0,2.421053,0.473684,0.710526
Jack Hinshelwood,MID,91.0,26.0,19.0,7.0,4.421053,1.0,2.394737,0.5,0.684211
Sander Berge,MID,91.0,34.0,33.0,1.0,2.727273,1.0,2.394737,0.868421,0.894737
Amad Diallo,MID,91.0,31.0,26.0,5.0,3.307692,1.0,2.394737,0.684211,0.815789
Ibrahim Sangaré,MID,89.0,27.0,24.0,3.0,3.583333,1.0,2.342105,0.631579,0.710526
Callum Hudson-Odoi,MID,88.0,30.0,21.0,9.0,3.761905,1.0,2.315789,0.552632,0.789474
Georginio Rutter,MID,87.0,31.0,20.0,11.0,3.8,1.0,2.289474,0.526316,0.815789
