name,position,club,minutes,appearances,starts,goals,assists,clean_sheets,rating,form,xg,xa,yellow_cards,red_cards,bonus,bps,ict_index,chance_playing,fixture_difficulty,home,selected_by_percent,team_form_points,team_attack_form,team_defence_form,opponent_strength,rest_days,price,future_points,GW,kickoff_time
Carlos Vinícius Alves Morais,FWD,Fulham,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,68.88096360246229,1.5,1.35,1.35,0.5,7.0,5.0,0,3,2024-08-31T14:00:00Z
Chadi Riad Dnanou,DEF,Crystal Palace,90.0,2.0,1.0,0.0,0.0,0.0,6.033333333333333,0.5,0.0,0.02,0.0,0.0,0.0,3.0,1.0,0.6499999999999999,3.0,0.0,58.78847779637656,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-09-01T12:30:00Z
Charlie Taylor,DEF,Southampton,14.0,2.0,0.0,0.0,0.0,0.0,6.033333333333333,0.5,0.0,0.01,0.0,0.0,0.0,3.0,0.2,0.6499999999999999,3.0,0.0,82.29293304346291,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T14:00:00Z
Cheick Doucouré,MID,Crystal Palace,6.0,2.0,0.0,0.0,0.0,0.0,6.044444444444444,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.15,0.6499999999999999,3.0,0.0,56.58347632546109,1.5,1.35,1.35,0.5,7.0,4.9,4,3,2024-09-01T12:30:00Z
Chris Mepham,DEF,Bournemouth,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,55.66660576729395,1.5,1.35,1.35,0.5,7.0,4.4,0,3,2024-08-31T14:00:00Z
Chris Richards,DEF,Crystal Palace,163.0,2.0,2.0,0.0,0.0,0.0,6.012269938650307,0.5,0.12,0.01,1.0,0.0,0.0,2.0,1.4,1.0,3.0,0.0,61.14106477742145,1.5,1.35,1.35,0.5,7.0,4.5,2,3,2024-09-01T12:30:00Z
Chris Wood,FWD,Nott'm Forest,145.0,2.0,2.0,1.0,0.0,2.0,6.241379310344827,5.0,0.95,0.11,1.0,0.0,3.0,35.0,6.1,1.0,3.0,1.0,85.25454697662305,1.5,1.35,1.35,0.5,7.0,6.1,9,3,2024-08-31T14:00:00Z
Christian Eriksen,MID,Man Utd,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,61.007113744198804,1.5,1.35,1.35,0.5,7.0,5.4,1,3,2024-09-01T15:00:00Z
Christian Nørgaard,MID,Brentford,180.0,2.0,2.0,0.0,0.0,0.0,6.122222222222222,1.5,0.1,0.03,1.0,0.0,0.0,22.0,2.25,1.0,3.0,1.0,59.16468976852898,1.5,1.35,1.35,0.5,7.0,5.0,2,3,2024-08-31T14:00:00Z
Christian Walton,GK,Ipswich,90.0,2.0,1.0,0.0,0.0,0.0,6.1,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.4,0.6499999999999999,3.0,1.0,63.474713998379016,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-08-31T14:00:00Z
